"时间","事件类型","关联题目","题目编码","附加信息"
"2026/8/21 02:24:11","得分成功","E2-01 · 在线代码执行平台逃逸评估","e2-01","+250 点"
"2026/8/21 02:24:37","关闭靶场","E2-01 · 在线代码执行平台逃逸评估","e2-01",""
"2026/8/21 02:24:53","启动靶场","E3-01 · 终端检测对抗评估","e3-01","container_addr: 10.0.179.145:8000"
"2026/8/21 02:25:23","得分成功","F1-02-lru-cache-service","f1-02","+300 点"
"2026/8/21 02:25:49","关闭靶场","F1-02-lru-cache-service","f1-02",""
"2026/8/21 02:26:05","启动靶场","E3-03 · 文件检测对抗评估","e3-03","container_addr: 10.0.179.146:8000"
"2026/8/21 02:27:36","得分成功","E3-01 · 终端检测对抗评估","e3-01","+250 点"
"2026/8/21 02:28:09","关闭靶场","E3-01 · 终端检测对抗评估","e3-01",""
"2026/8/21 02:28:25","启动靶场","F2-01 · 设备授权校验器","f2-01","container_addr: 10.0.179.145:9101"
"2026/8/21 02:28:55","得分成功","E3-03 · 文件检测对抗评估","e3-03","+250 点"
"2026/8/21 02:29:28","关闭靶场","E3-03 · 文件检测对抗评估","e3-03",""
"2026/8/21 02:29:44","启动靶场","F2-08 · IoT 固件管理控制台","f2-08","container_addr: 10.0.179.146:9108"
"2026/8/21 02:31:15","得分成功","E1-02 · 客户反馈站点安全评估","e1-02","+250 点"
"2026/8/21 02:31:38","关闭靶场","E1-02 · 客户反馈站点安全评估","e1-02",""
"2026/8/21 02:31:54","启动靶场","A-01 · 企业代码审计平台","a-01","container_addr: 10.0.179.144:80"
"2026/8/21 02:33:54","得分成功","A-01 · 企业代码审计平台","a-01","+500 点"
"2026/8/21 02:34:28","关闭靶场","A-01 · 企业代码审计平台","a-01",""
"2026/8/21 02:34:43","启动靶场","A-02 · 文档协作平台","a-02","container_addr: 10.0.179.144:80"
"2026/8/21 02:35:44","得分成功","F2-08 · IoT 固件管理控制台","f2-08","+200 点"
"2026/8/21 02:36:16","关闭靶场","F2-08 · IoT 固件管理控制台","f2-08",""
"2026/8/21 02:36:31","启动靶场","A-06 · 文档协作平台","a-06","container_addr: 10.0.179.146:80"
"2026/8/21 02:37:17","得分成功","A-02 · 文档协作平台","a-02","+500 点"
"2026/8/21 02:37:50","关闭靶场","A-02 · 文档协作平台","a-02",""
"2026/8/21 02:38:06","启动靶场","A-08 · 电子报销系统","a-08","container_addr: 10.0.179.144:80"
"2026/8/21 02:40:21","得分成功","A-06 · 文档协作平台","a-06","+500 点"
"2026/8/21 02:40:31","得分成功","A-08 · 电子报销系统","a-08","+500 点"
"2026/8/21 02:40:55","关闭靶场","A-06 · 文档协作平台","a-06",""
"2026/8/21 02:41:04","关闭靶场","A-08 · 电子报销系统","a-08",""
"2026/8/21 02:41:04","得分成功","F2-01 · 设备授权校验器","f2-01","+200 点"
"2026/8/21 02:41:20","启动靶场","A-11 · 企业办公系统","a-11","container_addr: 10.0.179.144:80"
"2026/8/21 02:41:21","启动靶场","A-13 · PyDash原型链污染","a-13","container_addr: 10.0.179.146:80"
"2026/8/21 02:41:32","关闭靶场","F2-01 · 设备授权校验器","f2-01",""
"2026/8/21 02:41:47","启动靶场","A-15 · 智慧报表导出系统","a-15","container_addr: 10.0.179.145:80"
"2026/8/21 02:46:43","得分成功","A-15 · 智慧报表导出系统","a-15","+500 点"
"2026/8/21 02:47:07","关闭靶场","A-15 · 智慧报表导出系统","a-15",""
"2026/8/21 02:47:29","启动靶场","A-16 · 内网资产探测服务","a-16","container_addr: 10.0.179.145:80"
"2026/8/21 02:47:29","得分成功","A-11 · 企业办公系统","a-11","+500 点"
"2026/8/21 02:47:55","关闭靶场","A-11 · 企业办公系统","a-11",""
"2026/8/21 02:48:11","启动靶场","A-18 · CloudFunc 平台","a-18","container_addr: 10.0.179.144:80"
"2026/8/21 02:58:23","得分成功","A-16 · 内网资产探测服务","a-16","+500 点"
"2026/8/21 02:59:04","关闭靶场","A-16 · 内网资产探测服务","a-16",""
"2026/8/21 02:59:20","启动靶场","C-01 · 运维集中调度台","c-01","container_addr: 10.0.179.145:10086,10.0.179.145:22"
"2026/8/21 03:01:44","关闭靶场","A-13 · PyDash原型链污染","a-13",""
"2026/8/21 03:01:59","启动靶场","C-02 · 智算模型托管引擎","c-02","container_addr: 10.0.179.146:8188"
"2026/8/21 03:08:41","关闭靶场","A-18 · CloudFunc 平台","a-18",""
"2026/8/21 03:08:57","启动靶场","F1-05-buffer-writer-service","f1-05","container_addr: 10.0.179.144:9014"
"2026/8/21 03:12:28","得分成功","C-01 · 运维集中调度台","c-01","+500 点"
"2026/8/21 03:12:44","关闭靶场","C-01 · 运维集中调度台","c-01",""
"2026/8/21 03:13:00","启动靶场","F2-05 · 嵌入式授权引擎","f2-05","container_addr: 10.0.179.145:9105"
"2026/8/21 03:13:45","得分成功","F1-05-buffer-writer-service","f1-05","+500 点"
"2026/8/21 03:14:18","关闭靶场","F1-05-buffer-writer-service","f1-05",""
"2026/8/21 03:14:43","启动靶场","D-03 · AWS EC2 云主机应用评估","d-03","container_addr: 10.0.179.144:8000"
"2026/8/21 03:17:59","得分成功","D-03 · AWS EC2 云主机应用评估","d-03","+400 点"
"2026/8/21 03:18:24","关闭靶场","D-03 · AWS EC2 云主机应用评估","d-03",""
